condition	seed	task_index	task	best_score	avg_score	evaluated	scores_csv	compare_root
full-spectrum	0	0	Celecoxib_rediscovery	1.0	0.09093593592626925	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_53/2026_08_24_evolution_ga_Celecoxib_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150846
full-spectrum	0	10	Osimertinib_MPO	0.8012841587673166	0.05448765833373086	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_10/2026_08_24_evolution_ga_Osimertinib_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	11	Fexofenadine_MPO	0.9668164365358536	0.08217109052777713	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_10/2026_08_24_evolution_ga_Fexofenadine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	12	Ranolazine_MPO	0.6925677830065992	0.04165445874192665	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_11/2026_08_24_evolution_ga_Ranolazine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	13	Perindopril_MPO	0.4284207088802645	0.0075856275087207575	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_11/2026_08_24_evolution_ga_Perindopril_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	14	Amlodipine_MPO	0.5516772843673705	0.008006284807552607	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Amlodipine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	15	Sitagliptin_MPO	0.7401358337615399	0.037300535578694415	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Sitagliptin_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	16	Zaleplon_MPO	0.4226827005522375	0.0106758851590515	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Zaleplon_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150852
full-spectrum	0	17	Valsartan_smarts	0.0263421281507009	0.00027545089173713097	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Valsartan_smarts/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150852
full-spectrum	0	18	Deco_hop	0.596045447740113	0.5001293168875217	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_18_Deco_hop/compare_GuacaMol_20260824_150855/runs/spectralmol/seed_0/case_GuacaMol_20260824_150859/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_21/2026_08_24_evolution_ga_Deco_hop/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_18_Deco_hop/compare_GuacaMol_20260824_150855
full-spectrum	0	19	Scaffold_hop	0.666667	0.3586391547553045	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Scaffold_hop/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260824_150852
full-spectrum	0	1	Troglitazone_rediscovery	1.0	0.078207195030242	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_0/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_50/2026_08_24_evolution_ga_Troglitazone_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845
full-spectrum	0	2	Thiothixene_rediscovery	1.0	0.057142827693602495	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Thiothixene_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150846
full-spectrum	0	3	Aripiprazole_similarity	1.0	0.12073083228953932	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Aripiprazole_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150846
full-spectrum	0	4	Albuterol_similarity	0.6081871345029239	0.19412414778124662	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Albuterol_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150846
full-spectrum	0	5	Mestranol_similarity	1.0	0.25450755016613635	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Mestranol_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150846
full-spectrum	0	6	C11H24	1.0	0.03837479140758474	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_6_C11H24/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_C11H24/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_6_C11H24/compare_GuacaMol_20260824_150846
full-spectrum	0	7	C9H10N2O2PF2Cl	0.7470175003104326	0.12135482192699161	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_C9H10N2O2PF2Cl/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150846
full-spectrum	0	8	Median_molecules_1	0.4067796610169492	0.07491663603906787	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Median_molecules_1/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260824_150846
full-spectrum	0	9	Median_molecules_2	0.3623715376697393	0.01863987665225665	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260824_150854/runs/spectralmol/seed_0/case_GuacaMol_20260824_150858/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_19/2026_08_24_evolution_ga_Median_molecules_2/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260824_150854
full-spectrum	1	0	Celecoxib_rediscovery	1.0	0.078968787182879	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Celecoxib_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150852
full-spectrum	1	10	Osimertinib_MPO	0.8058577676402566	0.05034381002868393	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Osimertinib_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852
full-spectrum	1	11	Fexofenadine_MPO	1.0	0.1291932052222483	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Fexofenadine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852
full-spectrum	1	12	Ranolazine_MPO	0.6925677830065992	0.022632145662237774	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Ranolazine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852
full-spectrum	1	13	Perindopril_MPO	0.4364357804719847	0.007734163438531146	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Perindopril_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852
full-spectrum	1	14	Amlodipine_MPO	0.848528137423857	0.031630029419426296	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150850/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Amlodipine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150848
full-spectrum	1	15	Sitagliptin_MPO	0.7119494902659677	0.023373195617454746	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150847/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Sitagliptin_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150847
full-spectrum	1	16	Zaleplon_MPO	0.6936365736837096	0.019016020736265477	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Zaleplon_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150848
full-spectrum	1	17	Valsartan_smarts	0.0272170582400699	0.00018152581400554725	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Valsartan_smarts/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150848
full-spectrum	1	18	Deco_hop	0.6034117638592751	0.5005160685930745	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_18_Deco_hop/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Deco_hop/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_18_Deco_hop/compare_GuacaMol_20260824_150848
full-spectrum	1	19	Scaffold_hop	0.666667	0.35547147171968957	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_19_Scaffold_hop/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Scaffold_hop/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_19_Scaffold_hop/compare_GuacaMol_20260824_150848
full-spectrum	1	1	Troglitazone_rediscovery	1.0	0.08092296145857125	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Troglitazone_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845
full-spectrum	1	2	Thiothixene_rediscovery	0.3277310924369748	0.03941093989130486	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Thiothixene_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150845
full-spectrum	1	3	Aripiprazole_similarity	1.0	0.12917655569701605	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Aripiprazole_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150845
full-spectrum	1	4	Albuterol_similarity	0.5523809523809524	0.17746102114491924	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Albuterol_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150845
full-spectrum	1	5	Mestranol_similarity	1.0	0.17421344123072366	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150847/runs/spectralmol/seed_1/case_GuacaMol_20260824_150848/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Mestranol_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150847
full-spectrum	1	6	C11H24	1.0	0.018406225755641544	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_6_C11H24/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_C11H24/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_6_C11H24/compare_GuacaMol_20260824_150852
full-spectrum	1	7	C9H10N2O2PF2Cl	0.8348063012807894	0.18595272328126958	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_C9H10N2O2PF2Cl/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150852
full-spectrum	1	8	Median_molecules_1	0.3999999999999999	0.045030179808534604	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_8_Median_molecules_1/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Median_molecules_1/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_8_Median_molecules_1/compare_GuacaMol_20260824_150852
full-spectrum	1	9	Median_molecules_2	0.3623715376697393	0.03762970939224003	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_9_Median_molecules_2/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Median_molecules_2/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_9_Median_molecules_2/compare_GuacaMol_20260824_150852
full-spectrum	2	0	Celecoxib_rediscovery	1.0	0.09239654728063033	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_151352/runs/spectralmol/seed_2/case_GuacaMol_20260824_151353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_13_56/2026_08_24_evolution_ga_Celecoxib_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_151352
full-spectrum	2	10	Osimertinib_MPO	0.7588646476479823	0.05680275943184631	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Osimertinib_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_151413
full-spectrum	2	11	Fexofenadine_MPO	1.0	0.21488781343670255	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Fexofenadine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_151413
full-spectrum	2	12	Ranolazine_MPO	0.6927265918932927	0.02722723813019322	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_151408/runs/spectralmol/seed_2/case_GuacaMol_20260824_151410/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_22/2026_08_24_evolution_ga_Ranolazine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_151408
full-spectrum	2	13	Perindopril_MPO	0.4096159602595202	0.00777901980278771	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_13_Perindopril_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Perindopril_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_13_Perindopril_MPO/compare_GuacaMol_20260824_151413
